Customer Name,Contact,Loan Number,Total Loan Amount,Current Balance,Current Escrow Balance,Prev Tax,Prev Insurance,Forecasted Tax,Forecasted Insurance,Last Tax Paid Date,Last Insurance Paid Date,Next Tax Pay Date,Next Insurance Pay Date,Forecasted Escrow Surplus,Forecasted Escrow Shortage,Last Interaction Date,Last Interaction Type,Last Interaction Summary,County,Property Address
Allison Hill,321.581.9600,41227216,356271.99,200084.26,6155.3,6045.15,2316.71,6273.8,2427.85,2024-11-13,2025-09-01,2025-11-13,2026-09-01,0.0,3996.62,2025-10-31,Call,Asked about escrow increase explanation,Collin,"386 Shane Harbors, Plano, TX 75070"
Jay Ramirez,651.216.1559,71662963,601514.05,439479.72,6012.14,6155.96,1513.18,6589.52,1566.2,2024-12-08,2024-11-28,2025-12-08,2025-11-28,0.0,3502.87,2025-10-17,Call,Requested payment schedule clarification,Dallas,"1849 Ray Squares, Irving, TX 75062"
Dylan Miller,516.647.5255,96977837,266609.62,247575.44,3356.16,3417.36,964.42,3780.54,1026.47,2025-07-17,2025-08-05,2026-07-17,2026-08-05,0.0,2252.02,2025-10-07,Call,Verified insurance premium update,Travis,"283 Steven Groves, Austin, TX 78704"
Frederick Tate,7305564139,97971488,209100.15,124746.88,5400.48,6984.53,1414.78,7314.94,1437.78,2025-04-15,2025-03-31,2026-04-15,2026-03-31,0.0,4811.03,2025-09-04,Email,Inquired about property tax adjustment,Harris,"7242 Julie Plain Suite 969, Houston, TX 77095"
Brenda Snyder PhD,922-669-1669,84252722,435094.67,294430.8,6838.77,3731.94,1403.96,4068.99,1506.68,2025-01-11,2025-05-06,2026-01-11,2026-05-06,333.82,0.0,2025-08-14,Call,Follow-up on prior escrow analysis letter,Collin,"184 Rodriguez Mews, Frisco, TX 75013"
Sherri Baker,728.914.8932x52880,12614124,496695.16,290553.71,7477.74,6096.73,1173.35,6457.57,1266.22,2024-12-07,2025-09-02,2025-12-07,2026-09-02,0.0,1533.35,2025-10-04,Call,Requested payment schedule clarification,Dallas,"4303 Christopher Oval, Irving, TX 75204"
Betty Alvarez,+1-624-889-6383,97225156,350805.66,194869.53,7600.37,6943.65,1334.95,7561.56,1395.83,2024-12-08,2025-08-12,2025-12-08,2026-08-12,0.0,2849.92,2025-10-14,In-App Message,Requested payment schedule clarification,Collin,"8713 Caleb Brooks Apt. 930, Allen, TX 75034"
Austin Johnson,818-534-7382x99737,22660194,708741.74,509931.63,6229.1,4927.95,1792.01,5236.34,1970.78,2024-12-02,2025-07-30,2025-12-02,2026-07-30,0.0,2179.21,2025-10-16,Email,Follow-up on prior escrow analysis letter,Tarrant,"656 Owens Stream, Fort Worth, TX 76107"
Mrs. Jennifer Morgan,633-938-7262,43528453,795827.18,418939.87,2119.87,6062.17,1813.9,6453.96,1929.32,2025-02-10,2025-01-14,2026-02-10,2026-01-14,0.0,7660.62,2025-09-22,In-App Message,Follow-up on prior escrow analysis letter,Travis,"8108 Tanya Terrace, Austin, TX 78701"
Mr. James Brown,(206)247-4687x2343,52091325,660212.56,334909.9,7193.52,6378.95,2106.62,6765.62,2183.33,2025-01-22,2024-12-07,2026-01-22,2025-12-07,0.0,3246.92,2025-10-10,Email,Verified insurance premium update,Tarrant,"97882 Susan Common, Grapevine, TX 76102"
Scott Powell,001-739-690-9169,37415205,721471.65,507801.21,1744.88,5813.85,2230.84,6253.9,2293.08,2024-12-19,2024-12-09,2025-12-19,2025-12-09,0.0,8226.6,2025-10-05,Chat,Requested payment schedule clarification,Collin,"46247 Hickman Cliffs Apt. 799, Allen, TX 75035"
Derek Mahoney,235-642-7849,99038526,599208.44,416032.13,1783.07,4633.41,2475.05,5108.84,2553.14,2025-08-16,2025-03-24,2026-08-16,2026-03-24,0.0,7155.91,2025-09-02,Email,Follow-up on prior escrow analysis letter,Harris,"41182 Campbell Fords, Pearland, TX 77002"
Sarah Wagner,801-264-0052x427,25015458,514492.85,249326.46,6324.22,6446.25,1018.27,6915.38,1078.84,2025-04-26,2024-12-30,2026-04-26,2025-12-30,0.0,3002.37,2025-08-18,Chat,Follow-up on prior escrow analysis letter,Collin,"280 Aguilar Drive, Plano, TX 75070"
Steven Flynn,4535315869,31810617,846685.12,700744.21,5829.07,6208.27,1478.29,6769.82,1542.76,2025-08-10,2024-12-22,2026-08-10,2025-12-22,0.0,3868.94,2025-09-20,In-App Message,Asked about escrow increase explanation,Harris,"0256 Joseph Turnpike, Pasadena, TX 77024"
Shannon Walker,754.833.0365x414,81969657,403564.17,300314.04,2610.8,3990.98,920.69,4337.39,948.87,2025-05-28,2024-12-25,2026-05-28,2025-12-25,0.0,3556.5,2025-09-20,Call,Inquired about property tax adjustment,Dallas,"14294 Daniel Mews Suite 569, Irving, TX 75201"
Cheryl Williams,(608)883-5615x95148,53779528,651733.33,363092.63,1926.18,7209.81,1770.77,7732.81,1913.52,2025-04-17,2025-06-11,2026-04-17,2026-06-11,0.0,9327.87,2025-11-02,In-App Message,Requested payment schedule clarification,Collin,"482 Robert Light Apt. 994, Frisco, TX 75025"
Dustin Jordan,001-495-377-7387,48089166,473288.39,313217.2,4269.17,6280.84,1944.72,7025.59,1981.39,2025-01-25,2025-08-16,2026-01-25,2026-08-16,0.0,6238.97,2025-10-20,In-App Message,Inquired about property tax adjustment,Collin,"34332 Brandon Mountains Apt. 769, Plano, TX 75070"
James Hernandez,001-901-463-2870x831,72363359,292656.68,197340.38,3953.17,4253.45,1224.67,4734.49,1285.76,2025-07-16,2025-02-26,2026-07-16,2026-02-26,0.0,3070.45,2025-10-27,Call,Asked about escrow increase explanation,Collin,"9868 Merritt Summit Suite 743, Frisco, TX 75024"
Kari Allen,814.434.5581x223,38716269,844775.24,738627.43,2164.18,5185.39,1163.37,5528.11,1181.14,2025-04-23,2025-04-11,2026-04-23,2026-04-11,0.0,5663.28,2025-11-09,In-App Message,Asked about escrow increase explanation,Harris,"6587 Brown Village, Houston, TX 77007"
Theresa Smith,001-596-670-5466x88937,68496914,363936.92,290529.3,6113.54,6525.13,1925.18,7006.69,1977.33,2025-07-26,2024-11-21,2026-07-26,2025-11-21,0.0,4367.82,2025-08-22,Email,Asked about escrow increase explanation,Travis,"65627 Tina Place Apt. 699, Austin, TX 78745"
